Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,29-107,1992,14,596,6.6,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,29-248,1991,14,1140,12.7,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,Leverkusen,31-021,1990,19,642,7.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17-304,2003,27,1565,17.4,1,3,1,0,0,6,1,0.06,0.17,0.23,0.06,0.23,Matches
Lars Bender\Lars-Bender,de GER,DF,Leverkusen,32-002,1989,13,934,10.4,0,2,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches
Sven Bender\Sven-Bender,de GER,DF,Leverkusen,32-002,1989,15,1064,11.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,23-232,1997,9,535,5.9,1,0,1,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches
László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,23-232,1997,7,150,1.7,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,Matches
Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,26-013,1995,22,1570,17.4,3,0,2,1,1,6,0,0.17,0,0.17,0.11,0.11,Matches
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,26-156,1994,9,548,6.1,0,0,0,0,1,2,0,0,0,0,0,0,Matches
Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20-345,2000,4,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,19-169,2001,19,270,3,2,0,2,0,0,1,0,0.67,0,0.67,0.67,0.67,Matches
Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,31-095,1990,2,128,1.4,1,0,1,0,0,1,0,0.7,0,0.7,0.7,0.7,Matches
Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,27-131,1993,24,1300,14.4,4,1,3,1,1,3,0,0.28,0.07,0.35,0.21,0.28,Matches
Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,32-238,1988,26,2148,23.9,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,27-038,1994,27,1796,20,1,4,1,0,0,4,0,0.05,0.2,0.25,0.05,0.25,Matches
Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18-336,2002,9,277,3.1,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
Dennis Borkowski\Dennis-Borkowski,de GER,MF,RB Leipzig,19-093,2002,2,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,22-038,1999,21,1813,20.1,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21-313,1999,12,605,6.7,1,0,1,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,30-152,1990,13,1153,12.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,20-024,2001,13,628,7,0,2,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24-362,1996,28,1371,15.2,2,2,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26,Matches
Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22-310,1998,27,1657,18.4,4,3,4,0,0,1,0,0.22,0.16,0.38,0.22,0.38,Matches
Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,27-040,1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
John Brooks\John-Brooks,us USA,DF,Wolfsburg,28-091,1993,29,2538,28.2,2,0,2,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
