Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,24,1993,17,13,1202,13.4,1,2,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,1.2,1.2,1.6,2.8,0.09,0.12,0.21,0.09,0.21,Matches
Mickaël Cuisance\Mickael-Cuisance,fr FRA,MFFW,M'Gladbach,17,1999,24,9,1207,13.4,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,1.7,1.7,1.8,3.5,0.12,0.14,0.26,0.12,0.26,Matches
Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,21,1996,23,11,1146,12.7,0,4,0,0,0,4,0,0,0.31,0.31,0,0.31,1.7,1.7,3,4.6,0.13,0.24,0.37,0.13,0.37,Matches
Kevin Danso\Kevin-Danso,at AUT,DF,Augsburg,18,1998,16,13,1105,12.3,2,0,2,0,0,2,0,0.16,0,0.16,0.16,0.16,2,2,0.4,2.3,0.16,0.03,0.19,0.16,0.19,Matches
Palkó Dárdai\Palko-Dardai,hu HUN,FW,Hertha BSC,18,1999,2,0,27,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,26,1990,21,18,1635,18.2,0,3,0,0,0,2,0,0,0.17,0.17,0,0.17,1.4,1.4,2,3.4,0.08,0.11,0.19,0.08,0.19,Matches
Thomas Delaney\Thomas-Delaney,dk DEN,MF,Werder Bremen,25,1991,32,31,2796,31.1,3,4,3,0,0,5,0,0.1,0.13,0.23,0.1,0.23,4.2,4.2,2.5,6.7,0.14,0.08,0.22,0.14,0.22,Matches
Kerem Demirbay\Kerem-Demirbay,de GER,MF,Hoffenheim,24,1993,19,13,1211,13.5,2,2,1,1,1,3,0,0.15,0.15,0.3,0.07,0.22,2,1.3,2.2,3.5,0.15,0.16,0.31,0.09,0.26,Matches
Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,25,1991,30,25,2284,25.4,0,3,0,0,0,4,0,0,0.12,0.12,0,0.12,0.4,0.4,1.8,2.2,0.02,0.07,0.09,0.02,0.09,Matches
Franco Di Santo\Franco-Di-Santo,ar ARG,FWMF,Schalke 04,28,1989,30,22,1654,18.4,3,1,2,1,1,4,0,0.16,0.05,0.22,0.11,0.16,3.7,3,1.8,4.7,0.2,0.1,0.3,0.16,0.26,Matches
Abdou Diallo\Abdou-Diallo,sn SEN,DF,Mainz 05,21,1996,27,27,2415,26.8,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,2.3,2.3,0.8,3.2,0.09,0.03,0.12,0.09,0.12,Matches
Daniel Didavi\Daniel-Didavi,de GER,MFFW,Wolfsburg,27,1990,30,26,2237,24.9,9,5,9,0,0,4,0,0.36,0.2,0.56,0.36,0.56,5.4,5.4,2.8,8.2,0.22,0.11,0.33,0.22,0.33,Matches
Dennis Diekmeier\Dennis-Diekmeier,de GER,DF,Hamburger SV,27,1989,22,22,1868,20.8,0,3,0,0,0,4,0,0,0.14,0.14,0,0.14,0.4,0.4,2.3,2.7,0.02,0.11,0.13,0.02,0.13,Matches
Landry Dimata\Landry-Dimata,be BEL,FWMF,Wolfsburg,19,1997,21,9,902,10,0,1,0,0,0,1,1,0,0.1,0.1,0,0.1,1.2,1.2,0.4,1.6,0.12,0.04,0.16,0.12,0.16,Matches
Giulio Donati\Giulio-Donati,it ITA,DFMF,Mainz 05,27,1990,29,26,2284,25.4,0,3,0,0,0,3,2,0,0.12,0.12,0,0.12,0.4,0.4,1.7,2.1,0.01,0.07,0.08,0.01,0.08,Matches
Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,26,1991,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,20,1996,18,11,949,10.5,2,2,2,0,0,1,0,0.19,0.19,0.38,0.19,0.38,4.5,4.5,2.1,6.5,0.42,0.19,0.62,0.42,0.62,Matches
Niklas Dorsch\Niklas-Dorsch,de GER,MF,Bayern Munich,19,1998,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,0.7,0.7,0,0.8,0.73,0.03,0.76,0.73,0.76,Matches
Mohamed Dräger\Mohamed-Drager,tn TUN,MFFW,Freiburg,21,1996,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,26,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josip Drmi?\Josip-Drmic,ch SUI,FW,M'Gladbach,24,1992,13,4,467,5.2,4,1,4,0,0,1,0,0.77,0.19,0.96,0.77,0.96,3.1,3.1,0.2,3.3,0.61,0.04,0.65,0.61,0.65,Matches
