Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,Atalanta,20,1997,8,0,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.12,0.4,0.52,0.12,0.52,Matches
Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWDF,Bologna,20,1997,8,4,341,3.8,0,1,0,0,0,0,0,0,0.26,0.26,0,0.26,0.1,0.1,1.1,1.2,0.04,0.28,0.32,0.04,0.32,Matches
Adam Ounas\Adam-Ounas,dz ALG,FWMF,Napoli,20,1996,7,0,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.28,0.27,0.55,0.28,0.55,Matches
Simone Padoin\Simone-Padoin,it ITA,DFMF,Cagliari,33,1984,37,37,3103,34.5,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,3.9,5.1,0.04,0.11,0.15,0.04,0.15,Matches
Rodrigo Palacio\Rodrigo-Palacio,ar ARG,FWMF,Bologna,35,1982,28,23,2065,22.9,4,2,4,0,0,9,0,0.17,0.09,0.26,0.17,0.26,5.4,5.4,3.6,9,0.23,0.16,0.39,0.23,0.39,Matches
Raffaele Palladino\Raffaele-Palladino,it ITA,FWMF,Genoa,33,1984,4,2,231,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.8,1.5,0.29,0.31,0.6,0.29,0.6,Matches
Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Roma,22,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simone Palombi\Simone-Palombi,it ITA,FW,Lazio,21,1996,1,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.12,0.12,0,0.12,Matches
Alberto Paloschi\Alberto-Paloschi,it ITA,FW,SPAL,27,1990,36,25,2184,24.3,7,0,7,0,0,2,0,0.29,0,0.29,0.29,0.29,7,7,0.9,7.9,0.29,0.04,0.32,0.29,0.32,Matches
Goran Pandev\Goran-Pandev,mk MKD,FWMF,Genoa,34,1983,32,22,1803,20,5,1,5,0,0,4,1,0.25,0.05,0.3,0.25,0.3,5.8,5.8,2.7,8.5,0.29,0.13,0.42,0.29,0.42,Matches
Vittorio Parigini\Vittorio-Parigini,it ITA,FWMF,Benevento,21,1996,21,10,857,9.5,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,1.4,2.1,0.07,0.15,0.22,0.07,0.22,Matches
Marco Parolo\Marco-Parolo,it ITA,MF,Lazio,32,1985,31,30,2612,29,4,3,4,0,0,3,2,0.14,0.1,0.24,0.14,0.24,5.6,5.6,2.1,7.7,0.19,0.07,0.26,0.19,0.26,Matches
Patric\Patric,es ESP,DFMF,Lazio,24,1993,11,4,592,6.6,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,0.04,0.09,0.13,0.04,0.13,Matches
Daniel Pavlovi?\Daniel-Pavlovic,ba BIH,DF,Sampdoria,29,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches
Daniel Pavlovi?\Daniel-Pavlovic,ba BIH,DFMF,Crotone,29,1988,10,8,758,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.01,0.09,0.11,0.01,0.11,Matches
Leonardo Pavoletti\Leonardo-Pavoletti,it ITA,FW,Cagliari,28,1988,33,31,2719,30.2,11,0,11,0,0,8,0,0.36,0,0.36,0.36,0.36,12.8,12.8,1.2,14,0.42,0.04,0.46,0.42,0.46,Matches
