Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andrea Conti\Andrea-Conti,it ITA,DF,Parma,27-059,1994,10,798,8.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Andrea Conti\Andrea-Conti,it ITA,DF,Milan,27-059,1994,3,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,38-119,1983,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,28-045,1993,24,1548,17.2,1,4,1,0,0,4,0,0.06,0.23,0.29,0.06,0.29,Matches
Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,26-260,1994,24,1709,19,6,3,5,1,1,3,1,0.32,0.16,0.47,0.26,0.42,Matches
Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,37-169,1983,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,30-228,1990,2,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,22-086,1999,3,184,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,26-306,1994,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,34-121,1986,22,1725,19.2,1,0,0,1,1,6,0,0.05,0,0.05,0,0,Matches
Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,26-058,1995,29,1730,19.2,1,2,1,0,0,6,0,0.05,0.1,0.16,0.05,0.16,Matches
Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,23-262,1997,2,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,32-339,1988,25,1812,20.1,0,10,0,0,0,8,1,0,0.5,0.5,0,0.5,Matches
