Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Steven Fortes\Steven-Fortes,cv CPV,DF,Lens,29-013,1992,13.9,6,1,1,22,7,0,1,23,16,0,0,1,116,Matches
Yassin Fortune\Yassin-Fortune,fr FRA,FW,Angers,22-090,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,24-253,1996,27.5,4,0,0,24,119,2,42,14,13,0,0,0,212,Matches
Baptiste Gabard\Baptiste-Gabard,fr FRA,MF,Saint-Étienne,21-092,2000,1.5,1,0,0,2,3,0,0,0,3,0,0,0,12,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,31-216,1989,16.5,3,0,0,35,17,0,6,22,43,0,0,0,193,Matches
Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Lens,22-073,1999,11.2,0,0,0,11,39,5,13,8,3,3,0,0,35,Matches
Yann Gboho\Yann-Gboho,fr FRA,MFFW,Rennes,20-106,2001,3.4,0,0,0,8,7,1,5,1,4,0,0,0,26,Matches
Valère Germain\Valere-Germain,fr FRA,FW,Marseille,31-013,1990,9.5,1,0,0,9,20,2,10,9,2,0,0,0,36,Matches
Willem Geubbels\Willem-Geubbels,fr FRA,FWMF,Monaco,19-257,2001,3.2,3,0,0,10,2,1,4,4,6,0,0,0,23,Matches
Andrei Girotto\Andrei-Girotto,br BRA,DFMF,Nantes,29-072,1992,27.4,3,1,0,28,26,0,6,28,42,0,1,0,314,Matches
Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MFFW,Monaco,24-335,1996,10,1,0,0,14,12,3,31,13,12,0,0,0,73,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,27-237,1993,5,0,0,0,0,1,0,0,0,0,0,0,0,19,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,27-237,1993,18,1,0,0,1,3,0,0,0,0,0,1,0,94,Matches
Vagner Gonçalves\Vagner-Goncalves,cv CPV,FWMF,Metz,25-110,1996,9.2,3,0,0,19,24,9,7,4,10,1,0,0,60,Matches
Álvaro González\Alvaro-Gonzalez,es ESP,DF,Marseille,31-112,1990,27.5,12,0,0,28,26,2,0,25,18,0,1,0,241,Matches
Amine Gouiri\Amine-Gouiri,fr FRA,FWMF,Nice,21-073,2000,28.4,5,0,0,43,31,8,51,14,22,1,0,0,133,Matches
Jonathan Gradit\Jonathan-Gradit,fr FRA,DF,Lens,28-157,1992,27.4,9,1,1,45,53,0,1,41,28,0,2,0,203,Matches
Andrew Gravillon\Andrew-Gravillon,fr FRA,DF,Lorient,23-081,1998,24.2,3,1,0,20,32,0,7,49,15,0,1,1,218,Matches
Adrian Grbi?\Adrian-Grbic,at AUT,FW,Lorient,24-269,1996,10.3,1,0,0,20,16,2,1,2,7,2,0,0,47,Matches
Etienne Green\Etienne-Green,fr FRA,GK,Saint-Étienne,20-285,2000,4,0,0,0,2,0,0,0,0,0,0,2,0,17,Matches
