Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
337,Thomas Meunier\Thomas-Meunier,be BEL,DF,Paris S-G,25,1991,17.5,3,0,0,27,6,2,74,14,24,0,1,0,161,15,5,75,Matches
338,Mexer\Mexer,mz MOZ,DF,Rennes,28,1988,13.3,1,0,0,5,10,0,4,15,9,0,3,0,155,23,12,65.7,Matches
339,Mathieu Michel\Mathieu-Michel,fr FRA,GK,Angers,25,1991,6.6,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,,Matches
340,Clément Michelin\Clement-Michelin,fr FRA,DFFW,Toulouse,20,1997,3.1,2,0,0,7,2,0,11,2,1,0,0,0,30,5,3,62.5,Matches
341,Danijel Mili_evi_\Danijel-Milicevic,ba BIH,MFFW,Metz,31,1986,7.9,0,0,0,5,10,0,45,5,4,1,0,0,36,0,7,0,Matches
342,Kostas Mitroglou\Kostas-Mitroglou,gr GRE,FW,Marseille,29,1988,9.8,2,0,0,15,3,6,1,0,2,0,0,0,24,6,6,50,Matches
343,Florent Mollet\Florent-Mollet,fr FRA,MFFW,Metz,25,1991,15.7,6,0,0,31,26,3,41,10,9,0,0,0,128,3,5,37.5,Matches
344,Thomas Monconduit\Thomas-Monconduit,fr FRA,MF,Amiens,26,1991,32.8,7,1,0,64,45,2,11,52,47,1,0,0,360,25,14,64.1,Matches
345,Kévin Monnet-Paquet\Kevin-Monnet-Paquet,fr FRA,FWMF,Saint-Étienne,28,1988,19.6,0,0,0,31,14,5,32,13,19,0,0,0,125,14,35,28.6,Matches
346,Jérémy Morel\Jeremy-Morel,mg MAD,DF,Lyon,33,1984,32.4,4,0,0,28,25,1,0,36,18,0,2,1,322,20,12,62.5,Matches
347,Lebo Mothiba\Lebo-Mothiba,za RSA,FW,Lille,21,1996,13.1,2,0,0,28,18,9,3,1,4,0,0,0,37,6,7,46.2,Matches
348,Thiago Motta\Thiago-Motta,it ITA,MF,Paris S-G,34,1982,12.8,3,1,0,22,14,1,0,15,14,0,1,0,125,5,11,31.3,Matches
349,François Moubandje\Francois-Moubandje,ch SUI,DF,Toulouse,27,1990,18.9,6,2,1,21,17,1,27,29,14,0,0,0,218,22,5,81.5,Matches
350,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,31,1986,3.4,1,0,0,1,2,0,0,1,0,0,1,0,11,0,0,,Matches
351,Lucas Moura\Lucas-Moura,br BRA,FW,Paris S-G,24,1992,0.8,1,0,0,1,2,1,5,0,0,0,0,0,5,0,0,,Matches
352,João Moutinho\Joao-Moutinho,pt POR,MF,Monaco,30,1986,31.1,6,0,0,40,27,1,73,39,44,0,0,0,304,11,13,45.8,Matches
353,Samuel Moutoussamy\Samuel-Moutoussamy,cd COD,MF,Nantes,20,1996,4.8,0,0,0,4,3,0,2,7,9,0,0,0,34,0,2,0,Matches
354,Ndombe Mubele\Ndombe-Mubele,cd COD,FW,Toulouse,23,1994,4.1,0,0,0,4,9,0,18,7,4,0,0,0,31,2,5,28.6,Matches
355,Ndombe Mubele\Ndombe-Mubele,cd COD,FWMF,Rennes,23,1994,13.6,1,0,0,14,42,5,20,5,5,0,0,0,70,3,6,33.3,Matches
356,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,Montpellier,19,1997,31,5,0,0,31,66,1,77,60,42,0,0,0,384,30,7,81.1,Matches
357,Kévin N'Doram\Kevin-NDoram,fr FRA,MFDF,Monaco,21,1996,8,3,0,0,8,12,0,0,9,10,0,0,0,92,6,7,46.2,Matches
358,Abdallah N'dour\Abdallah-Ndour,sn SEN,DF,Strasbourg,23,1993,2.8,2,1,0,4,6,0,8,2,4,0,1,0,29,0,0,,Matches
359,Clinton N'Jie\Clinton-NJie,cm CMR,FWMF,Marseille,23,1993,9.7,2,0,0,16,2,12,11,3,7,0,0,0,42,4,8,33.3,Matches
360,Stanley N'Soki\Stanley-NSoki,fr FRA,DF,Paris S-G,18,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
361,Préjuce Nakoulma\Prejuce-Nakoulma,bf BFA,FW,Nantes,30,1987,12.8,4,0,0,33,26,10,4,5,7,0,0,0,55,9,18,33.3,Matches
362,Nathan\Nathan,br BRA,MF,Amiens,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
363,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Amiens,20,1996,2.6,0,0,0,4,5,0,2,3,5,0,0,0,27,1,1,50,Matches
364,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Lyon,20,1996,26.1,5,0,0,36,70,0,7,36,45,1,0,0,210,9,6,60,Matches
365,Neymar\Neymar,br BRA,FWMF,Paris S-G,25,1992,20,5,2,1,24,103,10,58,3,9,2,0,0,110,2,2,50,Matches
366,Yeni Ngbakoto\Yeni-Ngbakoto,cd COD,FWMF,Guingamp,25,1992,6.4,1,0,0,11,10,1,16,6,5,0,0,0,42,3,7,30,Matches
367,Santy Ngom\Santy-Ngom,sn SEN,FWMF,Nantes,24,1993,5.2,1,0,0,18,18,2,7,2,6,0,0,0,25,3,9,25,Matches
368,Guy Ngosso\Guy-Ngosso,cm CMR,MF,Amiens,32,1985,6.8,3,0,0,12,7,0,0,5,8,0,0,0,78,6,3,66.7,Matches
369,Opa Nguette\Opa-Nguette,sn SEN,FWMF,Metz,23,1994,11.3,3,0,0,18,20,1,9,17,16,1,0,0,65,11,8,57.9,Matches
370,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Metz,21,1996,34.5,8,0,0,36,40,0,8,43,33,0,1,0,387,28,14,66.7,Matches
371,Adama Niane\Adama-Niane,ml MLI,FW,Troyes,24,1993,24.1,6,0,0,34,29,31,10,10,8,2,0,0,119,29,78,27.1,Matches
372,Ibrahima Niane\Ibrahima-Niane,sn SEN,MFFW,Metz,18,1999,9.4,1,0,0,11,28,2,15,1,5,0,0,0,65,8,18,30.8,Matches
373,Casimir Ninga\Casimir-Ninga,td CHA,FWMF,Montpellier,24,1993,14.3,1,0,0,29,11,15,20,5,7,0,0,0,65,4,17,19,Matches
374,Benjamin Nivet\Benjamin-Nivet,fr FRA,MFFW,Troyes,40,1977,15.2,0,0,0,25,25,1,15,18,16,0,0,0,114,8,15,34.8,Matches
375,Jordan Nkololo\Jordan-Nkololo,cd COD,MFFW,Caen,24,1992,4.7,0,0,0,6,10,2,13,5,4,0,0,0,31,1,4,20,Matches
376,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,Paris S-G,19,1997,7,0,0,0,13,10,2,4,6,1,0,0,0,38,1,1,50,Matches
377,Vincent Nogueira\Vincent-Nogueira,fr FRA,MF,Strasbourg,29,1988,0.7,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,,Matches
378,Paul-Georges Ntep\Paul-Georges-Ntep,cm CMR,FWMF,Saint-Étienne,25,1992,5.7,2,0,0,8,13,2,15,2,4,0,0,0,26,3,3,50,Matches
379,Gerzino Nyamsi\Gerzino-Nyamsi,fr FRA,DF,Rennes,20,1997,3,0,0,0,5,1,0,0,1,0,0,0,0,34,6,0,100,Matches
380,Johann Obiang\Johann-Obiang,ga GAB,DF,Troyes,24,1993,5.2,1,0,0,5,5,0,16,9,6,0,0,0,35,4,2,66.7,Matches
381,Lucas Ocampos\Lucas-Ocampos,ar ARG,FWMF,Marseille,23,1994,22.7,6,1,0,36,47,6,31,22,42,1,1,0,171,15,41,26.8,Matches
382,Prince Oniangué\Prince-Oniangue,cg CGO,MF,Angers,28,1988,11.7,1,2,1,15,16,1,2,13,7,0,0,0,67,13,20,39.4,Matches
383,Otávio\Otavio,br BRA,MF,Bordeaux,23,1994,16.5,5,2,1,26,11,0,4,26,34,0,1,0,192,5,5,50,Matches
384,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Strasbourg,29,1988,16.2,1,0,0,1,3,0,0,0,0,0,0,0,58,1,0,100,Matches
385,Ambroise Oyongo\Ambroise-Oyongo,cm CMR,MF,Montpellier,26,1991,2.2,0,0,0,1,3,0,10,2,1,0,0,0,18,0,3,0,Matches
386,Pablo\Pablo,br BRA,DF,Bordeaux,26,1991,14.3,3,0,0,12,6,1,0,19,11,0,1,0,165,16,8,66.7,Matches
387,Vincent Pajot\Vincent-Pajot,fr FRA,MF,Saint-Étienne,26,1990,14.3,5,1,0,33,18,1,5,15,12,0,0,0,142,37,23,61.7,Matches
388,Nicolas Pallois\Nicolas-Pallois,fr FRA,DF,Nantes,29,1987,27,8,4,2,16,6,0,3,34,20,0,1,1,307,14,17,45.2,Matches
389,Julian Palmieri\Julian-Palmieri,fr FRA,DFMF,Metz,30,1986,12.5,4,1,0,22,9,0,15,15,10,0,0,0,108,7,6,53.8,Matches
390,Javier Pastore\Javier-Pastore,ar ARG,MFFW,Paris S-G,28,1989,15,2,0,0,12,14,2,19,9,19,0,0,0,84,2,6,25,Matches
391,Mateo Pavlovi_\Mateo-Pavlovic,ba BIH,DF,Angers,27,1990,21.8,9,0,0,32,10,0,2,17,5,0,1,0,236,30,17,63.8,Matches
392,Dimitri Payet\Dimitri-Payet,fr FRA,MFFW,Marseille,30,1987,26.1,6,0,0,16,53,4,131,18,9,3,0,0,172,2,7,22.2,Matches
393,Stef Peeters\Stef-Peeters,be BEL,MF,Caen,25,1992,12.3,4,0,0,26,5,1,37,10,9,0,0,0,96,1,4,20,Matches
394,Bryan Pelé\Bryan-Pele,fr FRA,FWMF,Troyes,25,1992,18,1,0,0,18,17,5,59,12,12,0,0,0,99,3,19,13.6,Matches
395,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,34,1982,8.2,1,0,0,1,2,0,0,0,0,0,0,0,41,0,0,,Matches
396,Pietro Pellegri\Pietro-Pellegri,it ITA,FWMF,Monaco,16,2001,0.3,0,0,0,1,2,0,3,1,0,0,0,0,2,1,0,100,Matches
397,Théo Pellenard\Theo-Pellenard,fr FRA,DF,Bordeaux,23,1994,15.9,4,0,0,24,5,0,39,30,13,0,1,0,176,5,4,55.6,Matches
398,Nicolas Pépé\Nicolas-Pepe,ci CIV,FWMF,Lille,22,1995,31.6,5,0,0,27,82,26,50,16,15,1,0,0,138,10,16,38.5,Matches
399,Romain Perraud\Romain-Perraud,fr FRA,MF,Nice,19,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
400,Loïc Perrin\Loic-Perrin,fr FRA,DF,Saint-Étienne,31,1985,27.4,3,0,0,15,28,1,2,24,21,0,0,0,320,39,18,68.4,Matches
401,Chris Philipps\Chris-Philipps,lu LUX,MFDF,Metz,23,1994,9.4,4,0,0,17,5,0,2,18,17,0,1,0,120,2,1,66.7,Matches
402,Lebogang Phiri\Lebogang-Phiri,za RSA,MF,Guingamp,22,1994,11.5,1,0,0,12,7,0,4,15,18,0,0,0,111,2,3,40,Matches
403,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Saint-Étienne,19,1998,13,2,1,0,12,15,0,16,11,19,0,1,0,100,5,3,62.5,Matches
404,Facundo Píriz\Facundo-Piriz,uy URU,MF,Montpellier,27,1990,9,4,0,0,15,9,0,2,13,9,0,0,0,105,5,7,41.7,Matches
405,Jaroslav Pla_il\Jaroslav-Plasil,cz CZE,MF,Bordeaux,35,1982,11.6,2,0,0,16,15,0,5,22,14,0,0,0,131,1,6,14.3,Matches
406,Alassane Pléa\Alassane-Plea,fr FRA,FW,Nice,24,1993,33.8,7,0,0,37,60,15,21,13,9,1,0,0,124,8,28,22.2,Matches
407,Morgan Poaty\Morgan-Poaty,cg CGO,MF,Montpellier,20,1997,1.9,1,0,0,2,3,0,6,0,0,0,0,0,19,1,1,50,Matches
408,Gerónimo Poblete\Geronimo-Poblete,ar ARG,MF,Metz,24,1993,18.4,1,0,0,20,30,1,3,21,33,0,0,0,167,8,5,61.5,Matches
409,Florentin Pogba\Florentin-Pogba,gn GUI,DF,Saint-Étienne,26,1990,3.6,1,0,0,3,3,1,8,2,1,0,1,0,42,1,1,50,Matches
410,Ezequiel Ponce\Ezequiel-Ponce,ar ARG,FW,Lille,20,1997,12.2,2,0,0,32,11,12,3,1,5,0,0,0,35,16,32,33.3,Matches
411,Jérémie Porsan-Clémenté\Jeremie-Porsan-Clemente,fr FRA,MF,Montpellier,19,1997,1,1,0,0,1,1,0,4,1,1,0,0,0,10,1,0,100,Matches
412,Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,24,1992,18.9,5,0,0,23,14,4,51,25,22,1,0,0,182,15,2,88.2,Matches
413,Sanjin Prci_\Sanjin-Prcic,ba BIH,MF,Rennes,23,1993,17.4,3,0,0,13,10,0,6,28,18,0,0,0,192,3,3,50,Matches
414,Nicolas de Préville\Nicolas-de-Preville,fr FRA,FW,Bordeaux,26,1991,21.5,6,0,0,49,37,6,46,19,25,0,0,0,121,7,23,23.3,Matches
415,Nicolas de Préville\Nicolas-de-Preville,fr FRA,FW,Lille,26,1991,3.2,0,0,0,7,4,2,2,0,3,0,0,0,14,2,2,50,Matches
416,Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,21,1995,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
417,Sloan Privat\Sloan-Privat,fr FRA,FW,Guingamp,28,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
418,Loïc Puyo\Loic-Puyo,fr FRA,MF,Angers,28,1988,1.9,0,0,0,4,2,0,4,3,6,0,0,0,29,0,0,,Matches
419,Adrien Rabiot\Adrien-Rabiot,fr FRA,MF,Paris S-G,22,1995,26.3,2,0,0,38,21,0,15,30,30,0,0,0,280,14,11,56,Matches
420,Rafael\Rafael,br BRA,DF,Lyon,27,1990,20.1,9,0,0,33,27,2,56,44,33,0,0,1,181,12,10,54.5,Matches
421,Andrea Raggi\Andrea-Raggi,it ITA,DF,Monaco,33,1984,17.8,3,0,0,12,13,2,19,19,10,0,0,0,125,2,7,22.2,Matches
422,Adil Rami\Adil-Rami,fr FRA,DF,Marseille,31,1985,32.8,5,0,0,28,22,1,2,33,20,0,0,1,426,38,20,65.5,Matches
423,Pedro Rebocho\Pedro-Rebocho,pt POR,DF,Guingamp,22,1995,19.1,4,0,0,16,11,1,46,29,16,0,0,0,181,7,11,38.9,Matches
424,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,MFFW,Angers,19,1998,4.9,0,0,0,7,14,1,2,1,9,0,0,0,33,3,4,42.9,Matches
425,Jan Repas\Jan-Repas,si SVN,MFFW,Caen,20,1997,10,1,0,0,16,19,1,9,6,7,0,1,0,61,3,7,30,Matches
426,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Dijon,26,1990,38,3,0,0,3,7,0,0,1,0,0,0,0,215,0,0,,Matches
427,Emmanuel Rivière\Emmanuel-Riviere,fr FRA,FW,Metz,27,1990,22.3,1,0,0,40,17,9,8,2,8,0,0,0,84,33,69,32.4,Matches
428,Jonathan Rivierez\Jonathan-Rivierez,fr FRA,DF,Metz,28,1989,22.9,6,0,0,32,14,0,21,35,33,0,1,0,202,4,8,33.3,Matches
429,Ronny Rodelin\Ronny-Rodelin,fr FRA,FWMF,Caen,27,1989,35.1,1,0,0,20,33,14,61,15,15,0,0,0,237,55,40,57.9,Matches
430,Rolando\Rolando,pt POR,DF,Marseille,31,1985,27.9,5,0,0,20,16,1,2,26,21,0,1,1,301,23,18,56.1,Matches
431,Valentin Rongier\Valentin-Rongier,fr FRA,MFFW,Nantes,22,1994,26.1,1,0,0,34,21,4,14,43,49,0,0,0,244,2,13,13.3,Matches
432,Valentin Rosier\Valentin-Rosier,fr FRA,DF,Dijon,20,1996,30.9,5,0,0,58,20,3,46,53,43,0,0,2,277,22,19,53.7,Matches
433,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DFMF,Montpellier,24,1993,20.9,2,0,0,8,29,5,69,14,21,0,0,0,158,8,4,66.7,Matches
434,Nolan Roux\Nolan-Roux,fr FRA,FWMF,Metz,29,1988,31.5,8,0,0,45,60,19,23,27,16,0,0,0,136,27,48,36,Matches
435,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,30,1986,34.6,1,1,0,2,1,0,0,0,0,0,0,0,130,0,0,,Matches
436,Vincent Rüfli\Vincent-Rufli,ch SUI,MFFW,Dijon,29,1988,0.3,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,,Matches
437,Idriss Saadi\Idriss-Saadi,dz ALG,FW,Strasbourg,25,1992,10.4,1,0,0,10,6,7,17,2,4,1,0,0,35,2,7,22.2,Matches
438,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,24,1993,34.4,3,0,0,40,32,2,88,54,58,0,0,0,352,18,15,54.5,Matches
439,Ihsan Sacko\Ihsan-Sacko,fr FRA,FW,Nice,20,1997,2.9,1,0,0,3,10,1,2,1,1,0,0,0,17,1,3,25,Matches
440,Ihsan Sacko\Ihsan-Sacko,fr FRA,FWMF,Strasbourg,20,1997,7.9,1,0,0,8,14,2,7,6,7,0,0,0,66,2,12,14.3,Matches
441,Adrián Sahibeddine\Adrian-Sahibeddine,fr FRA,FWMF,Dijon,22,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Matches
442,Wesley Saïd\Wesley-Said,fr FRA,FWMF,Dijon,22,1995,20.4,4,0,0,35,18,7,17,15,22,1,0,0,101,0,5,0,Matches
443,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Nice,20,1997,25,1,0,0,8,39,5,78,21,9,2,0,0,119,5,4,55.6,Matches
444,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Monaco,20,1997,0.2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,Matches
445,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,27,1990,28,1,0,0,22,28,2,36,44,33,0,1,0,263,33,20,62.3,Matches
446,Diafra Sakho\Diafra-Sakho,sn SEN,FW,Rennes,27,1989,8.7,1,0,0,12,10,10,3,1,3,0,0,0,30,5,24,17.2,Matches
447,Emiliano Sala\Emiliano-Sala,ar ARG,FW,Nantes,26,1990,33.7,4,2,1,47,58,34,11,16,8,0,0,0,151,41,77,34.7,Matches
448,Yannis Salibur\Yannis-Salibur,fr FRA,FWMF,Guingamp,26,1991,16.9,4,0,0,19,36,7,41,9,9,0,0,0,75,5,4,55.6,Matches
449,Yoann Salmier\Yoann-Salmier,gf GUF,DF,Strasbourg,24,1992,12.3,2,0,0,12,6,0,0,20,13,0,0,0,105,4,3,57.1,Matches
450,Mamadou Samassa\Mamadou-Samassa,ml MLI,GK,Troyes,27,1990,21,1,0,0,1,4,0,0,0,0,0,0,0,106,0,0,,Matches
451,Brice Samba\Brice-Samba,cg CGO,GK,Caen,23,1994,3.5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Matches
452,Junior Sambia\Junior-Sambia,fr FRA,MFFW,Montpellier,20,1996,17.1,3,0,0,26,35,3,47,16,12,0,0,0,122,18,14,56.3,Matches
453,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,FWMF,Dijon,31,1986,15.9,2,0,0,12,21,5,30,7,14,0,0,0,114,1,12,7.7,Matches
454,Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,19,1997,17.7,6,0,0,35,24,0,12,16,44,0,1,0,218,16,8,66.7,Matches
455,Younousse Sankharé\Younousse-Sankhare,sn SEN,MF,Bordeaux,27,1989,20.9,5,0,0,30,35,5,6,26,14,0,1,0,140,10,13,43.5,Matches
456,Baissama Sankoh\Baissama-Sankoh,gn GUI,MFDF,Caen,25,1992,17.1,3,0,0,28,28,0,2,25,17,0,0,0,237,19,10,65.5,Matches
457,Yaya Sanogo\Yaya-Sanogo,fr FRA,FW,Toulouse,24,1993,16.8,6,0,0,50,41,13,6,7,5,1,0,0,67,30,30,50,Matches
458,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,22,1994,24.1,8,0,0,45,60,7,53,28,28,1,0,0,171,7,15,31.8,Matches
459,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,22,1995,28.8,6,0,0,45,51,1,14,46,36,0,0,0,350,21,16,56.8,Matches
460,Ivan Santini\Ivan-Santini,hr CRO,FW,Caen,28,1989,30.8,3,0,0,74,54,20,4,7,11,2,0,0,112,51,72,41.5,Matches
461,Yusuf Sari\Yusuf-Sari,tr TUR,FW,Marseille,18,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
462,Bouna Sarr\Bouna-Sarr,gn GUI,DFFW,Marseille,25,1992,19.9,5,0,0,31,25,4,65,27,40,1,0,0,235,22,12,64.7,Matches
463,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Rennes,19,1998,20.6,2,0,0,18,63,20,42,12,15,2,0,0,104,8,12,40,Matches
464,Malang Sarr\Malang-Sarr,fr FRA,DF,Nice,18,1999,14.7,1,0,0,11,15,0,6,25,11,0,1,0,124,18,9,66.7,Matches
465,Ernest Seka\Ernest-Seka,gn GUI,DF,Strasbourg,30,1987,24.2,4,1,0,33,12,2,20,39,36,0,0,0,278,21,11,65.6,Matches
466,Vahid Selimovi_\Vahid-Selimovic,lu LUX,DF,Metz,20,1997,11.7,4,2,1,21,9,0,0,16,8,0,0,1,114,4,8,33.3,Matches
467,Ole Selnæs\Ole-Selnaes,no NOR,MF,Saint-Étienne,23,1994,22.9,9,0,0,35,15,0,11,28,40,1,0,0,275,9,7,56.3,Matches
468,Jean Seri\Jean-Seri,ci CIV,MF,Nice,26,1991,29.1,5,0,0,26,61,0,48,31,15,2,0,0,221,10,7,58.8,Matches
469,Julien Serrano\Julien-Serrano,fr FRA,DF,Monaco,19,1998,3.1,1,0,0,2,4,0,15,3,1,0,0,0,26,2,4,33.3,Matches
470,Grégory Sertic\Gregory-Sertic,fr FRA,DFMF,Marseille,27,1989,3.9,1,0,0,7,3,0,0,7,2,0,1,0,39,0,1,0,Matches
471,Stéphane Sessègnon\Stephane-Sessegnon,bj BEN,MF,Montpellier,33,1984,10.9,1,0,0,10,20,0,11,2,1,0,0,0,91,3,3,50,Matches
472,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Monaco,25,1992,23.9,4,0,0,38,36,0,48,48,31,0,1,0,252,24,9,72.7,Matches
473,Kolbeinn Sig_órsson\Kolbeinn-Sigthorsson,is ISL,FW,Nantes,27,1990,0.3,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,50,Matches
474,Gabriel Silva\Gabriel-Silva,br BRA,DF,Saint-Étienne,26,1991,23.1,2,1,0,29,45,3,37,34,16,1,0,0,183,12,9,57.1,Matches
475,Thiago Silva\Thiago-Silva,br BRA,DF,Paris S-G,32,1984,23.5,5,0,0,19,12,0,2,22,21,0,1,0,240,22,3,88,Matches
476,Giovanni Sio\Giovanni-Sio,ci CIV,FW,Montpellier,28,1989,24.4,5,1,0,53,42,28,30,7,9,0,0,0,84,26,35,42.6,Matches
477,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Montpellier,22,1995,33.9,8,0,0,38,31,0,10,60,53,0,0,0,393,17,14,54.8,Matches
478,Naïm Sliti\Naim-Sliti,tn TUN,FWMF,Dijon,25,1992,25.5,2,0,0,22,66,10,46,16,28,2,1,0,146,6,16,27.3,Matches
479,Wesley Sneijder\Wesley-Sneijder,nl NED,MFFW,Nice,33,1984,4.4,0,0,0,4,3,0,11,2,1,0,0,0,15,0,0,,Matches
480,Somália\Somalia,br BRA,MFFW,Toulouse,28,1988,22.2,2,0,0,26,49,2,28,37,38,0,0,0,182,12,21,36.4,Matches
481,Jérémy Sorbon\Jeremy-Sorbon,fr FRA,DF,Guingamp,33,1983,29,1,0,0,16,16,1,0,45,16,0,0,0,280,21,8,72.4,Matches
482,Rayan Souici\Rayan-Souici,fr FRA,FW,Saint-Étienne,19,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
483,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,25,1992,13.2,2,0,0,7,14,1,0,17,5,0,0,0,124,11,3,78.6,Matches
484,Boubakary Soumaré\Boubakary-Soumare,fr FRA,MF,Lille,18,1999,5.7,1,0,0,7,6,0,0,6,11,0,0,0,58,6,0,100,Matches
485,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,Nice,25,1992,26.8,4,0,0,21,46,0,47,39,46,1,0,0,216,12,6,66.7,Matches
486,Bassem Srarfi\Bassem-Srarfi,tn TUN,FWMF,Nice,20,1997,9.7,1,0,0,13,18,4,9,11,6,1,0,0,57,3,3,50,Matches
487,Timo Stavitski\Timo-Stavitski,fi FIN,FW,Caen,18,1999,4.5,1,0,0,5,6,7,16,1,3,0,0,0,24,2,6,25,Matches
488,Mariusz St_pi_ski\Mariusz-Stepinski,pl POL,FW,Nantes,22,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
489,Danijel Suba_i_\Danijel-Subasic,hr CRO,GK,Monaco,32,1984,32.7,3,0,0,2,6,0,0,0,0,0,0,0,124,0,0,,Matches
490,Neven Suboti_\Neven-Subotic,rs SRB,DF,Saint-Étienne,28,1988,16,1,0,0,25,5,0,2,16,11,0,0,0,164,23,10,69.7,Matches
491,Gilles Sunu\Gilles-Sunu,tg TOG,MFFW,Angers,26,1991,7.3,4,0,0,10,16,2,12,3,0,0,0,0,41,3,9,25,Matches
492,Seydou Sy\Seydou-Sy,sn SEN,GK,Monaco,21,1995,2.8,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
493,Issiaga Sylla\Issiaga-Sylla,gn GUI,DFMF,Toulouse,23,1994,17.8,5,0,0,26,11,4,59,27,19,0,0,0,207,26,16,61.9,Matches
494,Moussa Sylla\Moussa-Sylla,fr FRA,FW,Monaco,17,1999,3.4,1,0,0,5,4,2,2,0,0,0,0,0,21,4,8,33.3,Matches
495,Alexander Søderlund\Alexander-Soderlund,no NOR,FWMF,Saint-Étienne,29,1987,4,0,1,0,12,6,5,1,2,0,0,0,0,15,3,6,33.3,Matches
496,Franck Tabanou\Franck-Tabanou,fr FRA,DF,Guingamp,28,1989,11.6,5,0,0,17,15,3,38,22,10,0,0,0,102,11,8,57.9,Matches
497,Ervin Taha\Ervin-Taha,fr FRA,MFFW,Bordeaux,18,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
498,Mehdi Tahrat\Mehdi-Tahrat,dz ALG,MF,Angers,27,1990,4.9,3,0,0,6,8,0,0,10,5,0,0,0,79,10,5,66.7,Matches
499,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Angers,24,1993,24.9,5,2,1,30,50,3,52,27,26,0,0,0,178,0,2,0,Matches
500,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Nice,23,1994,18.7,3,0,0,22,28,0,6,26,32,0,0,0,167,9,9,50,Matches
501,Oussama Tannane\Oussama-Tannane,ma MAR,FWMF,Saint-Étienne,23,1994,2.3,1,0,0,5,6,3,8,4,5,0,0,0,17,0,0,,Matches
502,Ciprian T_t_ru_anu\Ciprian-Tatarusanu,ro ROU,GK,Nantes,31,1986,37,0,0,0,1,5,0,1,0,0,0,1,0,159,0,0,,Matches
503,Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,28,1988,22.8,3,0,0,26,29,14,12,5,1,0,0,0,69,70,66,51.5,Matches
504,Jordan Tell\Jordan-Tell,fr FRA,FWDF,Rennes,20,1997,1.3,0,0,0,2,0,1,0,1,3,0,0,0,6,1,1,50,Matches
