Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rade Kruni?\Rade-Krunic,ba BIH,MF,Empoli,22,1993,32,29,2431,27,2,1,2,0,0,10,0,0.07,0.04,0.11,0.07,0.11,Matches
Juraj Kucka\Juraj-Kucka,sk SVK,MF,Milan,29,1987,30,23,2082,23.1,3,1,3,0,0,10,5,0.13,0.04,0.17,0.13,0.17,Matches
Sven Kums\Sven-Kums,be BEL,MF,Udinese,28,1988,29,20,1828,20.3,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
Jasmin Kurti?\Jasmin-Kurtic,si SVN,MFFW,Atalanta,27,1989,37,35,2739,30.4,6,3,6,0,0,7,0,0.2,0.1,0.3,0.2,0.3,Matches
Han Kwang-song\Han-Kwang-song,kp PRK,FW,Cagliari,17,1998,5,0,64,0.7,1,0,1,0,0,0,0,1.41,0,1.41,1.41,1.41,Matches
Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,26,1989,21,20,1883,20.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Milan,26,1990,27,12,1262,14,8,3,6,2,2,3,0,0.57,0.21,0.78,0.43,0.64,Matches
Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Udinese,32,1984,36,36,3203,35.6,2,1,2,0,0,9,1,0.06,0.03,0.08,0.06,0.08,Matches
Vincent Laurini\Vincent-Laurini,fr FRA,DF,Empoli,27,1989,24,24,1910,21.2,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Diego Laxalt\Diego-Laxalt,uy URU,MF,Genoa,23,1993,36,36,3135,34.8,1,4,1,0,0,5,0,0.03,0.11,0.14,0.03,0.14,Matches
Darko Lazovi?\Darko-Lazovic,rs SRB,MFFW,Genoa,25,1990,33,30,2450,27.2,2,4,2,0,0,4,2,0.07,0.15,0.22,0.07,0.22,Matches
Moritz Leitner\Moritz-Leitner,de GER,MF,Lazio,23,1992,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mario Lemina\Mario-Lemina,ga GAB,MF,Juventus,22,1993,19,8,906,10.1,1,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,Matches
Timo Letschert\Timo-Letschert,nl NED,DF,Sassuolo,23,1993,9,9,663,7.4,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Luca Lezzerini\Luca-Lezzerini,it ITA,GK,Fiorentina,21,1995,1,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DFMF,Juventus,32,1984,26,22,1866,20.7,1,2,1,0,0,5,0,0.05,0.1,0.14,0.05,0.14,Matches
Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,21,1995,35,27,2384,26.5,1,4,1,0,0,5,0,0.04,0.15,0.19,0.04,0.19,Matches
Pol Lirola\Pol-Lirola,es ESP,DF,Sassuolo,18,1997,22,17,1548,17.2,0,3,0,0,0,3,0,0,0.17,0.17,0,0.17,Matches
Adem Ljaji?\Adem-Ljajic,rs SRB,FWMF,Torino,24,1991,33,30,2513,27.9,10,8,9,1,2,5,0,0.36,0.29,0.64,0.32,0.61,Matches
Simone Lo Faso\Simone-Lo-Faso,it ITA,MF,Palermo,18,1998,10,1,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Milan,18,1998,25,17,1694,18.8,2,0,2,0,0,7,0,0.11,0,0.11,0.11,0.11,Matches
Francesco Lodi\Francesco-Lodi,it ITA,MF,Udinese,32,1984,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cristiano Lombardi\Cristiano-Lombardi,it ITA,FW,Lazio,20,1995,18,3,437,4.9,1,0,1,0,0,4,0,0.21,0,0.21,0.21,0.21,Matches
Maxi López\Maxi-Lopez,ar ARG,FW,Torino,32,1984,16,2,440,4.9,2,0,2,0,0,2,0,0.41,0,0.41,0.41,0.41,Matches
Jordan Lukaku\Jordan-Lukaku,be BEL,MFDF,Lazio,22,1994,16,8,851,9.5,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
Saša Luki?\Sasa-Lukic,rs SRB,MF,Torino,19,1996,14,7,777,8.6,0,0,0,0,0,6,0,0,0,0,0,0,Matches
