Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,Hertha BSC,24-042,1997,18.6,3,0,0,23,18,1,47,46,33,0,2,0,200,Matches
Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,33-015,1988,2.5,1,0,0,1,6,3,0,0,0,0,1,0,13,Matches
Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27-300,1993,17.1,4,1,1,20,32,0,14,40,15,0,1,0,165,Matches
Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,35-212,1985,10.6,1,0,0,10,7,0,1,25,8,0,0,1,125,Matches
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DFFW,Stuttgart,18-194,2002,0.4,1,0,0,2,0,0,0,0,1,0,0,0,4,Matches
Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,31-179,1989,1.4,0,0,0,6,1,0,0,2,1,0,0,0,13,Matches
Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,21-058,2000,9.2,1,0,0,12,8,1,22,16,7,0,0,0,74,Matches
Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FWMF,Dortmund,16-160,2004,4.7,0,0,0,9,8,4,3,0,2,0,0,0,23,Matches
Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,23-179,1997,18.3,5,0,0,39,23,2,37,27,20,1,0,0,175,Matches
Florian Müller\Florian-Muller,de GER,GK,Freiburg,23-167,1997,30,0,0,0,1,3,0,0,1,0,0,0,0,166,Matches
Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,20-096,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,31-228,1989,27.3,0,0,0,22,21,13,87,17,32,0,0,0,172,Matches
Petar Musa\Petar-Musa,hr CRO,FW,Union Berlin,23-056,1998,6,2,0,0,16,9,7,3,4,10,0,0,0,40,Matches
Jamal Musiala\Jamal-Musiala,de GER,FWMF,Bayern Munich,18-062,2003,8.8,0,0,0,12,20,2,9,22,13,0,0,0,81,Matches
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Schalke 04,29-012,1992,7.5,0,0,0,6,7,2,0,16,4,0,0,1,82,Matches
Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,27-090,1994,16.5,3,0,0,26,11,1,44,22,32,0,1,0,126,Matches
Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,21-252,1999,21,10,0,0,32,27,0,10,45,20,0,0,0,233,Matches
Matija Nastasi?\Matija-Nastasic,rs SRB,DF,Schalke 04,28-032,1993,13.6,2,0,0,16,5,0,0,15,6,0,2,0,96,Matches
Paul Nebel\Paul-Nebel,de GER,MF,Mainz 05,18-201,2002,0.6,0,0,0,2,1,0,0,1,0,0,0,0,4,Matches
Luca Netz\Luca-Netz,de GER,DF,Hertha BSC,17-349,2003,3.4,0,0,0,2,2,0,10,2,7,0,0,0,30,Matches
Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,35-033,1986,31,1,0,0,1,2,0,0,1,0,0,1,0,202,Matches
Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,24-044,1997,26.3,8,0,0,22,35,1,6,40,30,0,1,0,270,Matches
