Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Asier Riesgo\Asier-Riesgo,es ESP,GK,Eibar,32,1983,13.9,0,2,0,0,4,0,0,0,0,0,0,0,Matches
Cristian Rivera\Cristian-Rivera,es ESP,MF,Eibar,19,1997,8.1,3,0,0,12,1,0,4,21,14,0,0,0,Matches
Emmanuel Rivière\Emmanuel-Riviere,fr FRA,FWMF,Osasuna,26,1990,8.9,3,1,0,13,9,3,5,4,6,0,0,0,Matches
Roberto\Roberto,es ESP,GK,Espanyol,30,1986,3.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,24,1992,26.5,5,0,0,20,31,0,51,49,44,0,0,0,Matches
Marc Roca\Marc-Roca,es ESP,MF,Espanyol,19,1996,14.8,4,0,0,28,11,0,4,17,27,0,0,0,Matches
Rodri\Rodri,es ESP,MF,Villarreal,20,1996,9.6,1,0,0,18,15,0,0,19,31,0,0,0,Matches
Rodrigo\Rodrigo,es ESP,FWMF,Valencia,25,1991,15.4,1,0,0,23,26,17,19,4,11,1,0,0,Matches
Kévin Rodrigues\Kevin-Rodrigues,pt POR,DF,Real Sociedad,22,1994,1.2,1,0,0,3,2,0,1,2,0,0,0,0,Matches
James Rodríguez\James-Rodriguez,co COL,MFFW,Real Madrid,25,1991,13.1,1,0,0,12,21,10,99,11,18,0,0,0,Matches
José Rodríguez\Jose-Rodriguez,es ESP,MF,Málaga,21,1994,5,1,2,1,12,2,0,3,6,10,0,0,0,Matches
Juan Rodríguez\Juan-Rodriguez,es ESP,DF,Sporting Gijón,21,1995,2.6,1,0,0,3,1,0,0,4,2,0,0,1,Matches
Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Sporting Gijón,27,1989,15.6,1,0,0,10,32,3,51,11,23,2,0,0,Matches
Davy Roef\Davy-Roef,be BEL,GK,La Coruña,22,1994,1,0,0,0,0,0,0,0,1,0,0,0,0,Matches
Jaime Romero\Jaime-Romero,es ESP,MFFW,Osasuna,26,1990,10.1,1,0,0,7,22,10,47,9,8,1,0,0,Matches
Óscar Romero\Oscar-Romero,py PAR,MF,Alavés,24,1992,6,3,0,0,13,21,1,32,7,16,0,0,0,Matches
Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Real Madrid,31,1985,28.2,4,0,0,17,44,34,37,8,3,2,0,0,Matches
Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Celta Vigo,29,1987,30.2,8,2,1,51,30,4,16,78,63,0,3,0,Matches
Roberto Rosales\Roberto-Rosales,ve VEN,DF,Málaga,27,1988,31.8,5,2,1,42,16,0,97,58,73,0,1,0,Matches
Giuseppe Rossi\Giuseppe-Rossi,it ITA,FW,Celta Vigo,29,1987,8.9,1,0,0,10,14,11,2,1,7,0,0,0,Matches
