Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,28-062,1993,0.1,0,0,0,1,2,0,2,0,0,0,0,0,0,Matches
Federico Mattiello\Federico-Mattiello,it ITA,DF,Spezia,25-290,1995,0.4,0,0,0,0,1,0,1,1,0,0,0,0,7,Matches
Borja Mayoral\Borja-Mayoral,es ESP,FW,Roma,24-025,1997,14.8,1,0,0,10,25,10,7,3,5,1,0,0,35,Matches
Antonio Mazzotta\Antonio-Mazzotta,it ITA,DF,Crotone,31-271,1989,0.6,1,0,0,2,0,0,1,0,0,0,0,0,1,Matches
Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,26-162,1994,4.8,2,0,0,3,5,1,2,2,3,0,0,0,36,Matches
Weston McKennie\Weston-McKennie,us USA,MF,Juventus,22-245,1998,16.1,4,0,0,32,7,4,15,20,27,0,0,0,110,Matches
Gary Medel\Gary-Medel,cl CHI,DFMF,Bologna,33-270,1987,5.1,0,0,0,4,5,0,0,9,6,0,0,0,62,Matches
Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Milan,27-044,1994,5.3,2,0,0,10,11,2,2,7,9,0,0,0,56,Matches
Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,27-044,1994,10.2,0,0,0,11,9,1,3,10,6,0,0,0,82,Matches
Filippo Melegoni\Filippo-Melegoni,it ITA,MF,Genoa,22-071,1999,2.5,0,0,0,1,5,0,4,5,3,0,0,0,15,Matches
Arthur Melo\Arthur-Melo,br BRA,MF,Juventus,24-261,1996,11.8,3,0,0,10,20,0,0,15,13,0,0,0,124,Matches
Alex Meret\Alex-Meret,it ITA,GK,Napoli,24-039,1997,17,0,0,0,0,1,0,0,0,0,0,0,0,72,Matches
