Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
David Button\David-Button,eng ENG,GK,West Brom,32-061,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-029,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-213,1981,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-131,1985,16,3,0,0,10,3,3,0,14,6,0,0,0,120,66,31,68,Matches
Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-099,1991,8.4,2,0,0,4,18,1,18,1,4,1,0,0,71,2,5,28.6,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-044,1997,25.9,3,0,0,33,33,16,13,5,10,2,0,0,92,110,123,47.2,Matches
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-337,1994,22.6,4,0,0,33,12,2,63,43,39,0,0,0,235,30,24,55.6,Matches
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-079,2000,3.3,0,0,0,4,6,2,9,1,6,0,0,0,23,0,3,0,Matches
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-113,1989,4.3,1,0,0,11,10,4,3,1,1,0,0,0,36,46,34,57.5,Matches
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-265,1997,23.9,8,1,1,31,20,2,57,44,39,0,2,0,213,36,35,50.7,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-209,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-145,1995,21.1,1,0,0,16,11,1,32,19,31,0,0,0,175,35,38,47.9,Matches
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-057,1994,5.5,0,0,0,7,11,0,6,7,6,0,0,0,37,8,4,66.7,Matches
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-193,1993,22.6,2,0,0,27,23,9,53,14,16,0,0,0,139,38,70,35.2,Matches
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-074,1987,12.8,3,0,0,16,12,5,5,7,5,0,0,0,65,7,17,29.2,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-265,1996,16.1,3,0,0,20,23,0,11,22,31,0,0,0,175,7,11,38.9,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-099,1995,4.9,0,0,0,5,1,0,16,6,1,0,0,0,46,15,12,55.6,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-129,1996,21.5,3,0,0,19,37,6,84,23,27,0,0,0,177,38,29,56.7,Matches
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-210,1997,3.4,1,0,0,6,2,0,0,3,7,0,0,0,53,2,3,40,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,25-019,1996,13.7,2,1,0,6,5,0,0,23,10,0,0,0,125,42,20,67.7,Matches
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-215,1989,20.1,3,0,0,16,11,1,0,22,14,0,1,1,165,77,34,69.4,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,30-024,1991,12.7,2,0,0,4,2,0,13,13,9,0,0,0,99,7,15,31.8,Matches
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-063,1993,31.7,4,0,0,18,8,0,1,20,18,0,1,0,231,35,23,60.3,Matches
Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-200,1988,13.2,0,0,0,9,12,0,21,17,17,0,0,0,110,9,8,52.9,Matches
