Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Grégory Sertic\Gregory-Sertic,fr FRA,MFDF,Bordeaux,26,1989,15.2,2,0,0,16,13,1,12,18,15,0,0,0,Matches
Stéphane Sessègnon\Stephane-Sessegnon,bj BEN,MF,Montpellier,32,1984,25.7,4,2,1,19,48,2,42,17,22,0,0,0,Matches
Nicolas Seube\Nicolas-Seube,fr FRA,MF,Caen,36,1979,11.5,3,0,0,9,15,0,12,25,20,0,0,0,Matches
Moussa Seydi\Moussa-Seydi,sn SEN,FW,Metz,19,1996,0.2,0,0,0,1,0,0,0,0,0,0,1,0,Matches
Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Monaco,24,1992,25.8,7,0,0,42,27,5,116,47,52,0,1,0,Matches
Franck Signorino\Franck-Signorino,fr FRA,DF,Metz,34,1981,16.4,3,0,0,14,12,0,30,45,24,0,0,0,Matches
Kolbeinn Sig_órsson\Kolbeinn-Sigthorsson,is ISL,FW,Nantes,26,1990,1.7,0,0,0,3,1,4,0,0,2,0,0,0,Matches
Bernardo Silva\Bernardo-Silva,pt POR,MF,Monaco,21,1994,30.9,3,0,0,26,57,3,116,29,33,2,0,0,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,Paris S-G,31,1984,26.5,1,0,0,16,25,2,0,51,28,0,0,0,Matches
Giovanni Sio\Giovanni-Sio,ci CIV,FW,Rennes,27,1989,29.8,6,0,0,69,34,32,46,4,12,0,0,0,Matches
Pantxi Sirieix\Pantxi-Sirieix,fr FRA,MF,Toulouse,35,1980,0.5,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Montpellier,21,1995,36.5,3,0,0,44,24,2,8,105,70,0,2,1,Matches
Naïm Sliti\Naim-Sliti,tn TUN,MFFW,Lille,24,1992,10.6,1,0,0,11,25,1,53,14,18,1,0,0,Matches
Somália\Somalia,br BRA,MFDF,Toulouse,27,1988,20.1,2,1,0,29,27,0,24,33,37,0,0,0,Matches
Jérémy Sorbon\Jeremy-Sorbon,fr FRA,DF,Guingamp,32,1983,32.7,1,0,0,20,22,1,2,57,21,0,0,0,Matches
Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,24,1992,25.8,1,1,0,28,16,1,0,52,15,0,2,0,Matches
Arnaud Souquet\Arnaud-Souquet,fr FRA,DFMF,Nice,24,1992,26,3,0,0,24,36,4,41,41,45,1,1,0,Matches
Sébastien Squillaci\Sebastien-Squillaci,fr FRA,DF,Bastia,35,1980,9.5,2,0,0,8,12,0,0,19,5,0,0,0,Matches
Bassem Srarfi\Bassem-Srarfi,tn TUN,FWMF,Nice,19,1997,0.5,0,0,0,0,1,0,1,0,2,1,0,0,Matches
