Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Palkó Dárdai\Palko-Dardai,hu HUN,FW,Hertha BSC,18,1999,0.3,1,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,Matches
Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,26,1990,18.2,2,0,0,31,37,1,11,20,27,0,1,0,214,10,20,33.3,Matches
Thomas Delaney\Thomas-Delaney,dk DEN,MF,Werder Bremen,25,1991,31.1,5,0,0,83,74,6,29,36,49,0,0,0,347,99,76,56.6,Matches
Kerem Demirbay\Kerem-Demirbay,de GER,MF,Hoffenheim,24,1993,13.5,3,0,0,29,19,4,16,9,26,0,0,0,127,8,10,44.4,Matches
Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,25,1991,25.4,4,0,0,45,72,0,12,32,38,1,0,0,325,12,38,24,Matches
Franco Di Santo\Franco-Di-Santo,ar ARG,FWMF,Schalke 04,28,1989,18.4,4,0,0,57,21,18,31,2,11,1,0,0,85,42,50,45.7,Matches
Abdou Diallo\Abdou-Diallo,sn SEN,DF,Mainz 05,21,1996,26.8,5,0,0,59,9,5,20,25,42,0,1,0,310,74,28,72.5,Matches
Daniel Didavi\Daniel-Didavi,de GER,MFFW,Wolfsburg,27,1990,24.9,4,0,0,37,48,7,41,6,15,1,0,0,147,12,33,26.7,Matches
Dennis Diekmeier\Dennis-Diekmeier,de GER,DF,Hamburger SV,27,1989,20.8,4,0,0,18,33,5,54,10,22,0,1,0,178,22,14,61.1,Matches
Landry Dimata\Landry-Dimata,be BEL,FWMF,Wolfsburg,19,1997,10,1,1,1,25,40,1,6,0,7,1,0,0,40,15,41,26.8,Matches
Giulio Donati\Giulio-Donati,it ITA,DFMF,Mainz 05,27,1990,25.4,3,2,1,20,44,0,62,32,30,0,1,0,234,19,23,45.2,Matches
Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,26,1991,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,Matches
Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,20,1996,10.5,1,0,0,18,15,3,37,5,17,0,0,0,54,8,14,36.4,Matches
Niklas Dorsch\Niklas-Dorsch,de GER,MF,Bayern Munich,19,1998,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,Matches
Mohamed Dräger\Mohamed-Drager,tn TUN,MFFW,Freiburg,21,1996,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,0,,Matches
Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,26,1991,0.5,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
Josip Drmi?\Josip-Drmic,ch SUI,FW,M'Gladbach,24,1992,5.2,1,0,0,4,7,4,2,2,0,0,0,0,30,21,19,52.5,Matches
Rick van Drongelen\Rick-van-Drongelen,nl NED,DF,Hamburger SV,18,1998,16,4,0,0,11,6,0,3,13,20,0,0,1,201,32,30,51.6,Matches
Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,22,1994,8.3,3,0,0,23,18,1,5,6,11,0,0,0,79,11,24,31.4,Matches
