Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,24,1992,14,8,694,7.7,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
Christian Eriksen\Christian-Eriksen,dk DEN,MF,Tottenham,24,1992,36,36,3157,35.1,8,15,8,0,0,0,0,0.23,0.43,0.66,0.23,0.66,Matches
Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Middlesbrough,27,1989,11,10,975,10.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,West Brom,28,1988,31,30,2637,29.3,2,2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,Swansea City,31,1985,37,37,3330,37,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fábio\Fabio,br BRA,DF,Middlesbrough,26,1990,24,21,1847,20.5,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,29,1987,29,13,1339,14.9,5,12,5,0,0,8,0,0.34,0.81,1.14,0.34,1.14,Matches
Adam Federici\Adam-Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sofiane Feghouli\Sofiane-Feghouli,dz ALG,MFFW,West Ham,26,1989,21,11,1041,11.6,3,2,3,0,0,1,1,0.26,0.17,0.43,0.26,0.43,Matches
Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,1605,17.8,1,0,1,0,0,9,1,0.06,0,0.06,0.06,0.06,Matches
Leroy Fer\Leroy-Fer,nl NED,MF,Swansea City,26,1990,34,27,2404,26.7,6,2,6,0,0,9,0,0.22,0.07,0.3,0.22,0.3,Matches
