Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,24-288,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,24-074,1997,11.5,2,0,0,27,21,0,11,10,17,1,0,0,110,26,39,40,Matches
Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,32-231,1988,17.3,1,0,0,12,29,13,44,5,7,1,0,0,85,6,13,31.6,Matches
Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,26-084,1995,13.5,1,0,0,15,15,1,30,13,21,0,1,0,122,26,17,60.5,Matches
Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,20-309,2000,6,2,0,0,6,1,0,0,6,3,0,0,0,31,19,14,57.6,Matches
Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Elche,32-029,1989,1.5,0,0,0,4,3,4,5,0,1,0,0,0,3,0,7,0,Matches
Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,28-215,1992,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100,Matches
Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,33-197,1987,24.1,10,0,0,60,21,2,4,35,28,0,0,0,234,40,38,51.3,Matches
Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,18-191,2002,5.7,3,0,0,15,11,1,7,5,6,1,1,0,24,8,10,44.4,Matches
Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,34-086,1987,11.8,3,0,0,7,5,2,0,9,12,0,0,0,141,47,16,74.6,Matches
Miralem Pjani?\Miralem-Pjanic,ba BIH,MF,Barcelona,31-027,1990,6.7,1,0,0,4,10,0,1,7,5,0,0,0,71,5,4,55.6,Matches
Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,30-077,1991,23.1,1,1,0,41,48,2,24,31,32,0,1,0,179,52,58,47.3,Matches
Dani Plomer\Dani-Plomer,es ESP,FW,Granada,22-150,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Matches
Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,27-066,1994,5.5,1,0,0,8,13,0,8,1,4,0,0,0,40,3,3,50,Matches
Pere Pons\Pere-Pons,es ESP,MF,Alavés,28-068,1993,9.6,1,0,0,13,13,1,6,8,14,0,0,0,92,10,16,38.5,Matches
Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,30-320,1990,4.6,1,0,0,4,4,0,12,5,3,0,0,0,42,1,15,6.3,Matches
Portu\Portu,es ESP,FWMF,Real Sociedad,28-343,1992,20.8,3,0,0,28,24,18,50,12,13,0,0,0,96,19,32,37.3,Matches
Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,32-176,1988,16.4,4,0,0,15,12,0,0,33,13,0,0,1,102,26,19,57.8,Matches
Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,24-047,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,22-066,1999,23.9,4,0,0,22,18,2,54,28,26,0,0,0,196,11,39,22,Matches
Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,29-067,1992,20.4,5,0,0,27,21,13,37,12,13,0,0,0,126,49,80,38,Matches
Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,21-259,1999,2.3,0,0,0,1,6,0,0,1,2,0,0,0,16,1,2,33.3,Matches
Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,30-021,1991,28.1,5,1,1,27,22,4,7,27,22,0,0,0,268,58,47,55.2,Matches
Domingos Quina\Domingos-Quina,pt POR,MF,Granada,21-162,1999,3.4,0,0,0,2,9,1,2,3,5,0,0,0,27,5,5,50,Matches
Quini\Quini,es ESP,DF,Granada,31-217,1989,8.2,2,0,0,15,5,0,16,13,18,0,0,0,78,19,4,82.6,Matches
Quique\Quique,es ESP,FWMF,Eibar,30-348,1990,1.7,0,0,0,3,4,1,0,0,0,0,0,0,9,6,12,33.3,Matches
Dani Raba\Dani-Raba,es ESP,MF,Villarreal,25-182,1995,0.3,0,0,0,1,0,1,0,0,2,0,0,0,4,1,0,100,Matches
Uroš Ra?i?\Uros-Racic,rs SRB,MF,Valencia,23-043,1998,20.9,5,0,0,36,20,1,1,17,22,0,1,0,240,73,40,64.6,Matches
Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,28-082,1993,12.5,1,0,0,15,9,0,3,13,11,0,0,0,130,25,14,64.1,Matches
Ivan Rakiti?\Ivan-Rakitic,hr CRO,MF,Sevilla,33-050,1988,21.9,5,0,0,32,23,2,14,15,27,1,0,0,174,28,33,45.9,Matches
Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Osasuna,27-323,1993,1.2,0,0,0,1,1,0,2,0,1,0,0,0,9,3,1,75,Matches
