Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
175,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,26,1992,20.8,5,0,0,39,29,2,14,9,35,0,0,0,290,15,25,37.5,Matches
176,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,26,1992,1.3,0,0,0,2,2,0,3,2,4,0,0,0,12,0,1,0,Matches
177,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,25,1992,2.1,1,0,0,5,2,0,2,4,4,0,0,0,15,5,2,71.4,Matches
178,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,25,1992,5.3,2,0,0,11,5,0,3,5,11,0,0,0,52,7,6,53.8,Matches
179,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,17,2000,1.8,0,0,0,2,4,0,1,1,6,0,0,0,14,4,2,66.7,Matches
180,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,19,1999,10.1,0,0,0,17,9,0,4,12,19,0,0,0,68,3,3,50,Matches
181,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,23,1994,32,7,0,0,51,42,4,32,35,49,0,2,0,295,20,28,41.7,Matches
182,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,27,1991,4.7,1,0,0,6,3,0,0,3,4,0,0,0,41,6,3,66.7,Matches
183,José Fonte\Jose-Fonte,pt POR,DF,Lille,34,1983,34.6,5,1,0,30,17,0,3,25,19,0,2,0,361,89,35,71.8,Matches
184,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,28,1990,7,1,0,0,22,4,2,3,1,15,0,0,0,35,25,22,53.2,Matches
185,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,26,1992,1.5,0,0,0,1,1,0,0,2,3,0,0,0,14,3,1,75,Matches
186,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,21,1996,18.2,1,0,0,20,46,1,18,29,20,1,0,0,144,13,19,40.6,Matches
187,Milan Gaji_\Milan-Gajic,rs SRB,DF,Bordeaux,22,1996,1,0,0,0,1,1,0,3,1,2,0,0,0,7,2,2,50,Matches
188,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Nice,19,1999,11.5,1,0,0,9,12,2,6,1,4,1,0,0,35,11,17,39.3,Matches
189,Ganso\Ganso,br BRA,MFFW,Amiens,28,1989,5.8,0,0,0,9,9,0,5,4,9,0,0,0,36,3,1,75,Matches
190,Manu García\Manu-Garcia,es ESP,MF,Toulouse,20,1998,20.5,2,1,1,29,47,0,7,12,22,0,0,0,158,2,7,22.2,Matches
191,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,21,1997,14.2,3,1,0,18,8,0,1,20,16,0,0,0,167,7,15,31.8,Matches
192,Romain Genevois\Romain-Genevois,ht HAI,DF,Caen,30,1987,4,0,0,0,4,0,0,3,4,6,0,0,0,35,2,3,40,Matches
193,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,28,1990,24.1,1,0,0,23,20,5,17,7,17,0,0,0,105,72,116,38.3,Matches
194,Willem Geubbels\Willem-Geubbels,fr FRA,MF,Monaco,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
195,Lamine Ghezali\Lamine-Ghezali,fr FRA,FWMF,Saint-Étienne,19,1999,0.5,1,0,0,3,2,0,2,0,1,0,0,0,7,0,2,0,Matches
196,Saman Ghoddos\Saman-Ghoddos,ir IRN,FWMF,Amiens,24,1993,20.3,4,0,0,29,43,5,35,3,18,0,0,0,129,11,21,34.4,Matches
197,Andrei Girotto\Andrei-Girotto,br BRA,MF,Nantes,26,1992,16.4,6,3,2,34,23,0,7,15,36,0,0,0,214,38,29,56.7,Matches
198,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,30,1988,33,10,0,0,31,40,0,2,39,23,0,2,0,286,82,58,58.6,Matches
199,Eddy Gnahoré\Eddy-Gnahore,fr FRA,MF,Amiens,24,1993,24.9,4,2,2,34,9,3,6,15,35,0,0,0,218,27,22,55.1,Matches
200,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,30,1988,7.9,0,0,0,0,2,0,0,0,0,0,0,0,49,0,0,,Matches
201,Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MFFW,Monaco,22,1996,25.4,7,1,0,45,43,1,54,15,26,0,0,0,223,9,21,30,Matches
202,Anthony Gonçalves\Anthony-Goncalves,fr FRA,MFFW,Strasbourg,32,1986,11.8,3,0,0,32,9,2,50,7,12,0,0,0,84,9,11,45,Matches
203,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,27,1990,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Matches
204,Prince-Désir Gouano\Prince-Desir-Gouano,fr FRA,DF,Amiens,24,1993,29.1,2,0,0,30,41,0,0,29,21,0,2,1,267,61,32,65.6,Matches
205,Yoann Gourcuff\Yoann-Gourcuff,fr FRA,MFFW,Dijon,32,1986,1.5,0,0,0,2,3,0,2,0,1,0,0,0,14,0,1,0,Matches
206,Max Gradel\Max-Gradel,ci CIV,FWMF,Toulouse,30,1987,36,6,0,0,70,94,17,96,14,35,2,0,0,248,33,55,37.5,Matches
